C0 N idle
22 1 68.95
38 2 57.59
51 3 53.07
64 4 51.55
76 5 44.56
84 6 41.34
91 7 38.05
96 8 38.05
90 9 21.52
110 10 34.02
122 11 31.20
132 12 27.11
133 13 25.06
142 14 24.94
141 15 18.52
149 16 22.31
143 17 16.32
166 18 26.21
154 19 24.10
165 20 21.57
137 21 14.39
183 22 18.53
172 23 17.17
209 24 12.85
177 25 20.41
194 26 13.60
204 27 12.06
198 28 16.88
211 29 13.60
230 30 8.52
191 31 12.85
212 32 7.56
170 33 6.85
229 34 3.03
232 35 6.05
241 36 1.77
239 37 6.27
236 38 2.52
220 39 2.28
226 40 1.77
234 41 2.01
228 42 1.52
230 43 1.51
223 44 1.01
183 45 1.77
234 46 1.00
218 47 2.52
238 48 0.76
224 49 0.25
221 50 0.51
